geneName,DEG_id,uniprot_id
TEX264,DEG20110591,Q9Y6I9
RBM15B,DEG20110592,Q8NDT2
DOCK3,DEG20110593,Q8IZD9
CACNA2D2,DEG20110594,Q9NY47
RAD54L2,DEG20110595,Q9Y4B4
ALAS1,DEG20110596,P13196
WDR82,DEG20110597,Q6UXN9
PBRM1,DEG20110598,Q86U86
WNT5A,DEG20110599,P41221
CACNA1D,DEG20110600,Q01668
ARHGEF3,DEG20110601,Q9NR81
CACNA2D3,DEG20110602,Q8IZS8
SFMBT1,DEG20110603,Q9UHJ3
ERC2,DEG20110604,O15083
DCP1A,DEG20110605,Q9NPI6
FAM208A,DEG20110606,Q9UK61
TMEM110,DEG20110607,Q86TL2
PRKCD,DEG20110608,Q05655
ARF4,DEG20110609,P18085
PXK,DEG20110610,Q7Z7A4
SLMAP,DEG20110611,Q14BN4
MAGI1,DEG20110612,Q96QZ7
PRICKLE2,DEG20110613,Q7Z3G6
THOC7,DEG20110614,Q6I9Y2
FEZF2,DEG20110615,Q8TBJ5
PSMD6,DEG20110616,Q15008
ATXN7,DEG20110617,O15265
PDZRN3,DEG20110618,Q9UPQ7
MITF,DEG20110619,O75030
PPP4R2,DEG20110620,Q9NY27
FOXP1,DEG20110621,Q9H334
UBA3,DEG20110622,Q8TBC4
EPHA6,DEG20110623,Q9UF33
ROBO2,DEG20110624,Q9HCK4
ZNF654,DEG20110625,Q8IZM8
CADM2,DEG20110626,Q8N3J6
TOMM70A,DEG20110627,O94826
NFKBIZ,DEG20110628,Q9BYH8
SENP7,DEG20110629,Q9BQF6
BBX,DEG20110630,Q8WY36
CBLB,DEG20110631,Q13191
ALCAM,DEG20110632,Q13740
ATG3,DEG20110633,Q9NT62
LSAMP,DEG20110634,Q13449
TMEM39A,DEG20110635,Q9NV64
ZBTB20,DEG20110636,Q9HC78
ARHGAP31,DEG20110637,Q2M1Z3
ATP6V1A,DEG20110638,P38606
USF3,DEG20110639,Q68DE3
GSK3B,DEG20110640,P49841
STXBP5L,DEG20110641,Q9Y2K9
FSTL1,DEG20110642,Q12841
GTF2E1,DEG20110643,P29083
CD86,DEG20110644,P42081
KPNA1,DEG20110645,P52294
HACD2,DEG20110646,Q6Y1H2
ADCY5,DEG20110647,O95622
KALRN,DEG20110648,O60229
ZNF148,DEG20110649,Q9UQR1
PODXL2,DEG20110650,Q9NZ53
PLXNA1,DEG20110651,Q9UIW2
RUVBL1,DEG20110652,Q9Y265
SEC61A1,DEG20110653,P61619
GATA2,DEG20110654,P23769
CNBP,DEG20110655,P62633
ISY1-RAB43,DEG20110656,-
RAB7A,DEG20110657,P51149
COPG1,DEG20110658,Q9Y678
ISY1,DEG20110659,Q9ULR0
PLXND1,DEG20110660,Q9Y4D7
DNAJC13,DEG20110661,O75165
ATP2C1,DEG20110662,P98194
EPHB1,DEG20110663,P54762
TOPBP1,DEG20110664,Q92547
STAG1,DEG20110665,Q8WVM7
PPP2R3A,DEG20110666,Q06190
TMEM108,DEG20110667,Q6UXF1
COPB2,DEG20110668,P35606
PIK3CB,DEG20110669,P42338
ARMC8,DEG20110670,Q8IUR7
XRN1,DEG20110671,Q8IZH2
TFDP2,DEG20110672,Q14188
ZBTB38,DEG20110673,Q8NAP3
U2SURP,DEG20110674,O15042
WWTR1,DEG20110675,Q9GZV5
MED12L,DEG20110676,Q86YW9
MBNL1,DEG20110677,Q9NR56
DHX36,DEG20110678,Q9H2U1
GMPS,DEG20110679,P49915
CCNL1,DEG20110680,Q9UK58
TIPARP,DEG20110681,Q7Z3E1
SCHIP1,DEG20110682,Q9P0W5
MECOM,DEG20110683,Q03112
SERPINI1,DEG20110684,Q99574
KPNA4,DEG20110685,O00629
PDCD10,DEG20110686,Q9BUL8
PHC3,DEG20110687,Q8NDX5
SEC62,DEG20110688,Q99442
FNDC3B,DEG20110689,Q53EP0
TNIK,DEG20110690,Q9UKE5
PIK3CA,DEG20110691,P42336
TBL1XR1,DEG20110692,Q9BZK7
ACTL6A,DEG20110693,O96019
FXR1,DEG20110694,P51114
DCUN1D1,DEG20110695,Q96GG9
YEATS2,DEG20110696,Q9ULM3
ATP11B,DEG20110697,Q9Y2G3
EIF2B5,DEG20110698,Q13144
EPHB3,DEG20110699,P54753
DVL3,DEG20110700,Q92997
AP2M1,DEG20110701,Q96CW1
POLR2H,DEG20110702,P52434
EIF4G1,DEG20110703,Q04637
PSMD2,DEG20110704,Q13200
TRA2B,DEG20110705,P62995
IGF2BP2,DEG20110706,Q9Y6M1
EIF4A2,DEG20110707,Q14240
DNAJB11,DEG20110708,Q9UBS4
SENP2,DEG20110709,Q9HC62
ETV5,DEG20110710,P41161
MAP3K13,DEG20110711,O43283
TP63,DEG20110712,Q9H3D4
BCL6,DEG20110713,P41182
ACAP2,DEG20110714,Q15057
ATP13A3,DEG20110715,Q9H7F0
OPA1,DEG20110716,O60313
PAK2,DEG20110717,Q13177
UBXN7,DEG20110718,O94888
SENP5,DEG20110719,Q96HI0
RPL35A,DEG20110720,P18077
DLG1,DEG20110721,Q12959
CTBP1,DEG20110722,Q13363
GAK,DEG20110723,O14976
PCGF3,DEG20110724,Q3KNV8
WHSC1,DEG20110725,O96028
HTT,DEG20110726,P42858
FAM193A,DEG20110727,P78312
JAKMIP1,DEG20110728,Q96N16
TBC1D14,DEG20110729,Q9P2M4
KIAA0232,DEG20110730,Q92628
CRMP1,DEG20110731,Q14194
WDR1,DEG20110732,O75083
LDB2,DEG20110733,O43679
BOD1L1,DEG20110734,Q8NFC6
FBXL5,DEG20110735,Q9UKA1
